coditen_cli,descricao,codbarras,ncm,ex_ncm,natu_tabela,natu_codnature,cst_in,cst_out,aliq_in_pis,aliq_out_pis,aliq_in_cofins,aliq_out_cofins,conferido,cest,cst_in_icms,cst_out_icms,aliq_in_icms,aliq_out_icms,bc_dentro,bc_fora,cson
2,TOMATE KG,,,00,,,,,,,,,0,,,,,,,,
3,BATATA DOCE KG,,,00,,,,,,,,,0,,,,,,,,
4,CEBOLA KG,,,00,,,,,,,,,0,,,,,,,,
5,LARANJA KG,,,00,,,,,,,,,0,,,,,,,,
6,MANDIOCA KG,,,00,,,,,,,,,0,,,,,,,,
7,BANANA NANICA KG,,,00,,,,,,,,,0,,,,,,,,
8,BANANA MACA KG,,,00,,,,,,,,,0,,,,,,,,
10,BETERRABA KG,,,00,,,,,,,,,0,,,,,,,,
11,REPOLHO VERDE KG,,,00,,,,,,,,,0,,,,,,,,
13,PIMENTAO VERDE KG,,,00,,,,,,,,,0,,,,,,,,
14,CENOURA KG,,,00,,,,,,,,,0,,,,,,,,
15,PEPINO COMUM KG,,,00,,,,,,,,,0,,,,,,,,
16,CHUCHU KG,,,00,,,,,,,,,0,,,,,,,,
17,LIMAO TAITI KG,,,00,,,,,,,,,0,,,,,,,,
18,REPOLHO ROXO KG,,,00,,,,,,,,,0,,,,,,,,
21,COXAO MOLE KG,,,00,,,,,,,,,0,,,,,,,,
22,ALCATRA C/ MAMINHA KG,,,00,,,,,,,,,0,,,,,,,,
23,CONTRA FILE KG,,,00,,,,,,,,,0,,,,,,,,
24,PATINHO KG,,,00,,,,,,,,,0,,,,,,,,
25,COXAO DURO KG,,,00,,,,,,,,,0,,,,,,,,
35,LINGUICA EXCELENCIA KG,,,00,,,,,,,,,0,,,,,,,,
39,LINGUICA FINA PICANTE KG,,,00,,,,,,,,,0,,,,,,,,
40,PEITO DE FRANGO C/OSSO KG,,,00,,,,,,,,,0,,,,,,,,
41,ASA DE FRANGO KG,,,00,,,,,,,,,0,,,,,,,,
43,COXINHA DA ASA KG,,,00,,,,,,,,,0,,,,,,,,
47,PAO FRANCES KG,,,00,,,,,,,,,0,,,,,,,,
48,SALGADINHO KG,,,00,,,,,,,,,0,,,,,,,,
49,MUSSARELA FATIADA KG,,,00,,,,,,,,,0,,,,,,,,
52,SALSICHA KG,,,00,,,,,,,,,0,,,,,,,,
53,CAQUI IMPORTADO KG,,,00,,,,,,,,,0,,,,,,,,
55,MORT. BOLONHA KG,,,00,,,,,,,,,0,,,,,,,,
56,CALABRESA SADIA KG,,,00,,,,,,,,,0,,,,,,,,
60,COXA C/ SOBRECOXA KG,,,00,,,,,,,,,0,,,,,,,,
61,BISTECA SUINA KG,,,00,,,,,,,,,0,,,,,,,,
62,PERNIL SUINO KG,,,00,,,,,,,,,0,,,,,,,,
70,FIGADO BOVINO KG,,,00,,,,,,,,,0,,,,,,,,
71,BUCHO BOVINO KG,,,00,,,,,,,,,0,,,,,,,,
72,MOCOTO BOVINO KG,,,00,,,,,,,,,0,,,,,,,,
74,RABADA BOVINA KG,,,00,,,,,,,,,0,,,,,,,,
78,FILE MIGNON KG,,,00,,,,,,,,,0,,,,,,,,
79,PICANHA KG,,,00,,,,,,,,,0,,,,,,,,
85,CUPIM KG,,,00,,,,,,,,,0,,,,,,,,
91,CALABRESA EXCELENCIA KG,,,00,,,,,,,,,0,,,,,,,,
101,CABO PARA VASSOURASRODOS,,,00,,,,,,,,,0,,,,,,,,
102,MELANCIA KG,,,00,,,,,,,,,0,,,,,,,,
106,ABOBORA CABOTIA KG,,,00,,,,,,,,,0,,,,,,,,
107,ABOBRINHA VERDE KG,,,00,,,,,,,,,0,,,,,,,,
110,ABACATE KG,,,00,,,,,,,,,0,,,,,,,,
118,MAMAO PAPAYA KG,,,00,,,,,,,,,0,,,,,,,,
119,MAMAO FORMOSA KG,,,00,,,,,,,,,0,,,,,,,,
120,AMEIXA IMPORTADA KG,,,00,,,,,,,,,0,,,,,,,,
121,PERA DANJU KG,,,00,,,,,,,,,0,,,,,,,,
122,ACELGA KG,,,00,,,,,,,,,0,,,,,,,,
123,MELAO AMARELO KG,,,00,,,,,,,,,0,,,,,,,,
124,BERINGELA KG,,,00,,,,,,,,,0,,,,,,,,
128,NECTARINA IMPORTADA KG,,,00,,,,,,,,,0,,,,,,,,
129,MARACUJA KG,,,00,,,,,,,,,0,,,,,,,,
132,MORTADELA DEFUMADA KG,,,00,,,,,,,,,0,,,,,,,,
138,PEPINO JAPONES KG,,,00,,,,,,,,,0,,,,,,,,
154,KIWI KG,,,00,,,,,,,,,0,,,,,,,,
157,PEITO DE PERU KG,,,00,,,,,,,,,0,,,,,,,,
160,LOMBO CANADENSE KG,,,00,,,,,,,,,0,,,,,,,,
164,CHIPA KG,,,00,,,,,,,,,0,,,,,,,,
176,PRESUNTO SADIA VC KG,,,00,,,,,,,,,0,,,,,,,,
177,RABANETE UNIDADE,,,00,,,,,,,,,0,,,,,,,,
181,MACA GALA KG,,,00,,,,,,,,,0,,,,,,,,
191,ALHO KG,,,00,,,,,,,,,0,,,,,,,,
193,COSTELA SUINA KG,,,00,,,,,,,,,0,,,,,,,,
198,COCO SECO KG,,,00,,,,,,,,,0,,,,,,,,
202,GAS ULTRAGAZ P-13 AZUL,,,00,,,,,,,,,0,,,,,,,,
213,SALSICHA SEARA KG,,,00,,,,,,,,,0,,,,,,,,
214,ABACAXI UNIDADE,,,00,,,,,,,,,0,,,,,,,,
221,FRANGO PERDIGAO KG,,,00,,,,,,,,,0,,,,,,,,
227,SADIA PRESUNTO COZIDO KG,,,00,,,,,,,,,0,,,,,,,,
248,BIC LAMINA C/5,,,00,,,,,,,,,0,,,,,,,,
273,SALAME SADIA KG,,,00,,,,,,,,,0,,,,,,,,
281,FRANGO SADIA KG,,,00,,,,,,,,,0,,,,,,,,
296,FITA LARGA 3M UNID.,,,00,,,,,,,,,0,,,,,,,,
304,PESSEGO KG,,,00,,,,,,,,,0,,,,,,,,
309,PRESUNTO PERDIGAO KG,,,00,,,,,,,,,0,,,,,,,,
310,PAO DE QUEIJO KG,,,00,,,,,,,,,0,,,,,,,,
312,BALINHA 10,,,00,,,,,,,,,0,,,,,,,,
329,MEXERICA KG,,,00,,,,,,,,,0,,,,,,,,
340,MOELA FRANGO KG,,,00,,,,,,,,,0,,,,,,,,
347,PRESUNTO EXCELENCIA KG,,,00,,,,,,,,,0,,,,,,,,
349,PAO INTEGRAL KG,,,00,,,,,,,,,0,,,,,,,,
360,BACON EXCELENCIA KG,,,00,,,,,,,,,0,,,,,,,,
362,PAO DE MEL UN,,,00,,,,,,,,,0,,,,,,,,
376,ALMEIRAO UNIDADE,,,00,,,,,,,,,0,,,,,,,,
377,AGRIAO UNIDADE,,,00,,,,,,,,,0,,,,,,,,
378,BROCOLIS UNID.,,,00,,,,,,,,,0,,,,,,,,
389,CUECA VIRADA KG,,,00,,,,,,,,,0,,,,,,,,
400,CAROLINA KG,,,00,,,,,,,,,0,,,,,,,,
401,FILE DE PEITO KG,,,00,,,,,,,,,0,,,,,,,,
408,BROA DE FUBA KG,,,00,,,,,,,,,0,,,,,,,,
431,CALABRESA KG,,,00,,,,,,,,,0,,,,,,,,
